ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,DépenseTotale,Anciennete,TotalChildren,features,scaledFeatures,Education_index,Marital_Status_index,Education_encoded,Marital_Status_encoded,features_,pca_features
5524,1957,Graduation,Single,58138,0,0,,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,67,1617,0,0,"[67.0,58.0,1617.0,0.0,0.0]","[0.9851247619935259,0.3069707202916201,1.6790418948504782,0.0,-1.264223013300979]",0.0,2.0,"(4,[0],[1.0])","(7,[2],[1.0])","(16,[0,1,2,4,5,11],[0.9851247619935259,0.3069707202916201,1.6790418948504782,-1.264223013300979,1.0,1.0])","[-2.113893068764621,0.990226190602958]"
2174,1954,Graduation,Single,46344,1,1,,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,70,27,0,2,"[70.0,38.0,27.0,0.0,2.0]","[1.2354570894881944,-0.3835785274645794,-0.9610608527198014,0.0,1.3960489921421362]",0.0,2.0,"(4,[0],[1.0])","(7,[2],[1.0])","(16,[0,1,2,4,5,11],[1.2354570894881944,-0.3835785274645794,-0.9610608527198014,1.3960489921421362,1.0,1.0])","[1.627546954140564,1.001380504175012]"
4141,1965,Graduation,Together,71613,0,0,,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,59,776,0,0,"[59.0,26.0,776.0,0.0,0.0]","[0.31757188867440966,-0.7979080761182991,0.28261019000355675,0.0,-1.264223013300979]",0.0,1.0,"(4,[0],[1.0])","(7,[1],[1.0])","(16,[0,1,2,4,5,10],[0.31757188867440966,-0.7979080761182991,0.28261019000355675,-1.264223013300979,1.0,1.0])","[-1.0960940433890443,-0.2996519210639962]"
6182,1984,Graduation,Together,26646,1,0,,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,40,53,0,1,"[40.0,26.0,53.0,0.0,1.0]","[-1.2678661854584916,-0.7979080761182991,-0.9178893612500986,0.0,0.06591298942057865]",0.0,1.0,"(4,[0],[1.0])","(7,[1],[1.0])","(16,[0,1,2,4,5,10],[-1.2678661854584916,-0.7979080761182991,-0.9178893612500986,0.06591298942057865,1.0,1.0])","[0.7417457290174964,-1.5749207521816844]"
5324,1981,PhD,Married,58293,1,0,,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,43,422,0,1,"[43.0,94.0,422.0,0.0,1.0]","[-1.017533857963823,1.549959366252779,-0.30518627077624133,0.0,0.06591298942057865]",1.0,0.0,"(4,[1],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,6,9],[-1.017533857963823,1.549959366252779,-0.30518627077624133,0.06591298942057865,1.0,1.0])","[0.2874401976431356,-0.1854631256900502]"
7446,1967,Master,Together,62513,0,1,,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,57,716,0,1,"[57.0,16.0,716.0,0.0,1.0]","[0.15068367034463057,-1.1431826999963988,0.18298367122731976,0.0,0.06591298942057865]",2.0,1.0,"(4,[2],[1.0])","(7,[1],[1.0])","(16,[0,1,2,4,7,10],[0.15068367034463057,-1.1431826999963988,0.18298367122731976,0.06591298942057865,1.0,1.0])","[-0.08271500548681417,-0.35870820297555583]"
965,1971,Graduation,Divorced,55635,0,1,,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,53,590,0,1,"[53.0,34.0,590.0,0.0,1.0]","[-0.18309276631492757,-0.5216883770158193,-0.026232018202777846,0.0,0.06591298942057865]",0.0,3.0,"(4,[0],[1.0])","(7,[3],[1.0])","(16,[0,1,2,4,5,12],[-0.18309276631492757,-0.5216883770158193,-0.026232018202777846,0.06591298942057865,1.0,1.0])","[0.07327852236561828,-0.38803163725186113]"
6177,1985,PhD,Married,33454,1,0,,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,39,169,0,1,"[39.0,32.0,169.0,0.0,1.0]","[-1.351310294623381,-0.5907433017914392,-0.7252780916160405,0.0,0.06591298942057865]",1.0,0.0,"(4,[1],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,6,9],[-1.351310294623381,-0.5907433017914392,-0.7252780916160405,0.06591298942057865,1.0,1.0])","[0.6066013032753383,-1.5213582139058892]"
4855,1974,PhD,Together,30351,1,0,,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,50,46,0,1,"[50.0,19.0,46.0,0.0,1.0]","[-0.43342509380959615,-1.039600312832969,-0.9295124551073263,0.0,0.06591298942057865]",1.0,1.0,"(4,[1],[1.0])","(7,[1],[1.0])","(16,[0,1,2,4,6,10],[-0.43342509380959615,-1.039600312832969,-0.9295124551073263,0.06591298942057865,1.0,1.0])","[0.7249879486602883,-0.9768761491528233]"
5899,1950,PhD,Together,5648,1,1,,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,74,49,0,2,"[74.0,68.0,49.0,0.0,2.0]","[1.5692335261477526,0.6522453441697198,-0.9245311291685144,0.0,1.3960489921421362]",1.0,1.0,"(4,[1],[1.0])","(7,[1],[1.0])","(16,[0,1,2,4,6,10],[1.5692335261477526,0.6522453441697198,-0.9245311291685144,1.3960489921421362,1.0,1.0])","[1.5860942870542885,1.7694535210337539]"
1994,1983,Graduation,Married,51381,1,0,,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,41,19,0,1,"[41.0,11.0,19.0,0.0,1.0]","[-1.184422076293602,-1.3158200119354486,-0.9743443885566329,0.0,0.06591298942057865]",0.0,0.0,"(4,[0],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,5,9],[-1.184422076293602,-1.3158200119354486,-0.9743443885566329,0.06591298942057865,1.0,1.0])","[0.7817312352382186,-1.7513240973951811]"
387,1976,Basic,Married,7500,0,0,,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,48,61,0,0,"[48.0,59.0,61.0,0.0,0.0]","[-0.6003133121393752,0.34149818267943005,-0.9046058254132671,0.0,-1.264223013300979]",4.0,0.0,"(4,[],[])","(7,[0],[1.0])","(16,[0,1,2,4,9],[-0.6003133121393752,0.34149818267943005,-0.9046058254132671,-1.264223013300979,1.0])","[-0.2299068001127318,-0.7356207513403431]"
2125,1959,Graduation,Divorced,63033,0,0,,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,65,1102,0,0,"[65.0,82.0,1102.0,0.0,0.0]","[0.8182365436637469,1.1356298175990596,0.8239142753544442,0.0,-1.264223013300979]",0.0,3.0,"(4,[0],[1.0])","(7,[3],[1.0])","(16,[0,1,2,4,5,12],[0.8182365436637469,1.1356298175990596,0.8239142753544442,-1.264223013300979,1.0,1.0])","[-1.5055452912953127,1.1012148645076747]"
8180,1952,Master,Divorced,59354,1,1,,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,72,310,0,2,"[72.0,53.0,310.0,0.0,2.0]","[1.4023453078179735,0.13433340835257024,-0.49115577249188364,0.0,1.3960489921421362]",2.0,3.0,"(4,[2],[1.0])","(7,[3],[1.0])","(16,[0,1,2,4,7,12],[1.4023453078179735,0.13433340835257024,-0.49115577249188364,1.3960489921421362,1.0,1.0])","[1.286154345225322,1.4536334801987727]"
2569,1987,Graduation,Married,17323,0,0,,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,37,46,0,0,"[37.0,38.0,46.0,0.0,0.0]","[-1.51819851295316,-0.3835785274645794,-0.9295124551073263,0.0,-1.264223013300979]",0.0,0.0,"(4,[0],[1.0])","(7,[0],[1.0])","(16,[0,1,2,4,5,9],[-1.51819851295316,-0.3835785274645794,-0.9295124551073263,-1.264223013300979,1.0,1.0])","[-0.1798884610142899,-1.8564688892001324]"
2114,1946,PhD,Single,82800,0,0,,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,78,1315,0,0,"[78.0,23.0,1315.0,0.0,0.0]","[1.9030099628073107,-0.901490463281729,1.1775884170100854,0.0,-1.264223013300979]",1.0,2.0,"(4,[1],[1.0])","(7,[2],[1.0])","(16,[0,1,2,4,6,11],[1.9030099628073107,-0.901490463281729,1.1775884170100854,-1.264223013300979,1.0,1.0])","[-1.780782421754073,1.1392676403437487]"
